id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,categories
0,Flying Elephants at PDX,7000 NE Airport Way,Portland,OR,97218,45.5889058992,-122.5933307507,4.0,126,"Salad, Soup, Sandwiches, Delis, Restaurants, Cafes, Vegetarian"
1,Cleary's Restaurant & Spirits,12429 NE Glisan St,Portland,OR,97230,45.5264727,-122.535323,3.5,19,"Nightlife, Sandwiches, Seafood, Restaurants"
2,Cafe Yumm!,301 SW Morrison St,Portland,OR,97204,45.5184501881,-122.6757229865,3.5,158,"Vegetarian, Vegan, Sandwiches, Soup, American (New), Fast Food, Restaurants, Wraps, American (Traditional)"
3,Whole Time Chicken,,Portland,OR,97215,45.5162412,-122.5975269,5.0,7,"Food Stands, Restaurants, Sandwiches"
4,B Street Coffee House,2190 W Burnside St,Portland,OR,97210,45.523073600000004,-122.6962064,4.5,131,"Restaurants, Food, Sandwiches, Breakfast & Brunch, Gluten-Free, Coffee & Tea, Bagels"
5,Urban Pantry,1128 NW Lovejoy St,Portland,OR,97209,45.5299395,-122.6829322,3.5,26,"Do-It-Yourself Food, Restaurants, American (Traditional), Active Life, Grocery, Food, Local Flavor, Specialty Food, Kids Activities, Cafes, Delis"
6,Taqueria So Mexican,SW 1st And Columbia,Portland,OR,97230,45.5131986231,-122.6763805441,4.0,28,"Restaurants, Mexican, Food Trucks, Food, Food Stands"
7,Fukami Sushiya,4246 SE Belmont,Portland,OR,97215,45.516382,-122.618593,4.0,17,"Sushi Bars, Restaurants"
8,Papi Chulo's,611 NW 13th Ave,Portland,OR,97209,45.5274187,-122.6844472,4.0,180,"Mexican, Restaurants, Tacos, Breakfast & Brunch"
9,Noah Halal,310 SW 5th Ave,Portland,OR,97204,45.5210363,-122.6766335,4.0,72,"Mediterranean, Food, Restaurants, Food Trucks"
10,Peet's Coffee,508 SW Broadway,Portland,OR,97205,45.5205512296,-122.6787543126,3.5,73,"Coffee & Tea, Restaurants, Food"
11,Lotus Kitchen,101 SE 82nd Ave,Portland,OR,97216,45.522063,-122.579848,4.5,21,"Delis, Restaurants, Caterers, Event Planning & Services, Vietnamese"
12,Never Coffee,537 SW 12th Ave,Portland,OR,97205,45.5214333486,-122.683917135,4.0,49,"Restaurants, Cafes, Food, Coffee & Tea"
13,Lai Thai Food Cart,SW 2st Columbia St,Portland,OR,97201,45.5130803159,-122.6762986556,4.0,20,"Food Stands, Thai, Soup, Restaurants"
14,Caspian Kabob,4237 N Mississippi Ave,Portland,OR,97217,45.554568,-122.675674,5.0,187,"Restaurants, Food Trucks, Food Stands, Food, Middle Eastern, Persian/Iranian, Mediterranean"
15,Matt & Memere's,3582 SE Powell Blvd,Portland,OR,97202,45.496485,-122.626764,4.5,34,"Restaurants, Cajun/Creole, Food, Southern, Food Trucks, Donuts, Seafood"
16,Kings Deli,2207 NE Columbia Blvd,Portland,OR,97211,45.5773886,-122.6430574,3.0,15,"Delis, Restaurants"
17,Cha Ba Thai,5810 NE Sandy Blvd,Portland,OR,97213,45.5425541,-122.6033063,4.0,332,"Restaurants, Thai"
18,HOTLIPS Pizza - Hawthorne,2211 SE Hawthorne Blvd,Portland,OR,97214,45.512154,-122.6431199,3.5,177,"Food, Beer, Wine & Spirits, Restaurants, Fast Food, Pizza, Gluten-Free"
19,Headwaters,1001 SW Broadway,Portland,OR,97205,45.5172228,-122.6810692,3.0,307,"Bars, Wine Bars, Food, Nightlife, Restaurants, Seafood, Desserts"
20,A Thai Basil,SW 10th & Alder St,Portland,OR,97205,45.5205359903,-122.6816037297,3.0,41,"Food Stands, Food, Thai, Food Trucks, Bubble Tea, Restaurants"
21,McDonald's,12109 NE Glisan St,Portland,OR,97220,45.526686131,-122.5382611156,1.5,37,"Coffee & Tea, Restaurants, Fast Food, Burgers, Food"
22,Bamboo Izakaya,1409 NE Alberta St,Portland,OR,97211,45.5591054,-122.6512761,4.0,42,"Pubs, Restaurants, Nightlife, Breakfast & Brunch, Bars, Japanese, Cocktail Bars"
23,McDonald's,2875 SE Powell Blvd,Portland,OR,97202,45.4977464697,-122.6360719,2.0,77,"Food, Fast Food, Restaurants, Coffee & Tea, Burgers"
24,Laughing Planet,4110 SE Woodstock Blvd,Portland,OR,97255,45.4789575,-122.6202643,3.5,155,"Juice Bars & Smoothies, Cafes, Mexican, Vegetarian, Restaurants, American (New), Food, Vegan, Salad"
25,Pizza Oasis,2241 W Burnside St,Portland,OR,97210,45.5234782,-122.6972354,4.0,87,"Pizza, Restaurants"
26,Jolly Roger At John's Landing,5627 SW Kelly Ave,Portland,OR,97239,45.4827956,-122.6760019,4.0,60,"Bars, Restaurants, American (New), American (Traditional), Sports Bars, Nightlife"
27,Portland Seafood Company,9722 SE Washington St,Portland,OR,97216,45.517338,-122.563968,3.5,280,"Restaurants, Seafood, American (Traditional)"
28,Moon Dream,3232 NE 82nd Ave,Portland,OR,97220,45.5459972,-122.5785237,4.5,9,"American (New), Nightlife, Bars, Karaoke, Restaurants"
29,Imbibe Restaurant & Lounge,2229 SE Hawthorne Blvd,Portland,OR,97214,45.512142,-122.6430726,3.0,41,"Nightlife, Music Venues, Vegetarian, Arts & Entertainment, Lounges, Restaurants, Mass Media, Print Media, Bars"
30,Ole Cafe,"1800 SW 1st Ave, Ste 130",Portland,OR,97201,45.510138,-122.677199,3.0,10,"Cafes, Restaurants, Delis, Sandwiches"
